pos	surrogate	n_donors	median_depth	fixed_difference	epsilon
107	0.0	30	1320.5	False	0.0003381070833433
108	0.0011508675568462808	30	1279.5	False	0.0012726456056295
109	0.0	30	1287.5	False	0.0002995207667731
110	0.0	30	1290.5	False	0.0001754429935587
111	0.001074712265626172	30	1241.0	False	0.0013594060441284
112	0.0	30	1336.0	False	0.0004153229746897
113	0.0	30	1367.0	False	0.0004603382274555
114	0.0004901573283231426	30	1384.5	False	0.0006204705648764
115	0.0	30	1374.5	False	0.0005742451069531
116	0.0005365233966281196	30	1361.5	False	0.0006016847172081
117	0.0	30	1374.5	False	0.0004785948455335
118	0.0	30	1403.0	False	0.0003537485555267
119	0.0007183040904903244	30	1392.5	False	0.0007878151260504
120	0.0	30	1424.0	False	0.0005160079746686
121	0.0005298143930627436	30	1452.5	False	0.0006233982129251
122	0.0004436055281375179	30	1438.0	False	0.0004632739570545
123	0.0008638417030575822	30	1405.5	False	0.0008710391261358
124	0.0	30	1412.5	False	0.0003762138775894
125	0.0	30	1358.0	False	0.0001706900755913
126	0.0	30	1366.0	False	0.0002913540680311
127	0.0	30	1393.5	False	0.0003824274582915
128	0.0	30	1423.5	False	0.0002587200413952
129	0.0	30	1421.5	False	0.0004463971054671
130	0.0	30	1420.0	False	0.000702329392485
131	0.00023084025854108956	30	1390.5	False	0.0005001190759704
132	0.0	30	1426.0	False	0.0002563743998508
133	0.0	30	1449.0	False	0.000342786626751
134	0.0	30	1462.0	False	0.0004079782411604
135	0.0	30	1468.5	False	0.0002040723776699
136	0.00030211480362537764	30	1463.0	False	0.0006132739744696
137	0.0	30	1443.5	False	0.0004166666666666
138	0.0	30	1464.0	False	0.0003649718287369
139	0.00041405755144898886	30	1457.5	False	0.0004797149122807
140	0.0	30	1484.0	False	0.0003386233830733
141	0.0	30	1494.5	False	0.0002902563186567
142	0.0002226179875333927	30	1486.5	False	0.0005609531716292
143	0.0005694471047811842	30	1466.5	False	0.0006703807300214
144	0.00047261567894999823	30	1434.0	False	0.0009383868900485
145	0.0	30	1438.5	False	0.0004094258939132
146	0.0009672416899841002	30	1418.0	False	0.0014972550324405
147	0.00045128043954755523	30	1430.0	False	0.0007509386733416
148	0.002246335949858528	30	1417.0	False	0.0026112052773832
149	0.0005880037565947574	30	1414.0	False	0.0007585683745948
150	0.0007065699800656111	30	1412.5	False	0.00058344759182
151	0.0	30	1386.0	False	0.0003102847459245
152	0.06551869615112142	30	1355.5	False	0.0674061735833008
153	0.0	30	1344.0	False	0.0004546215873471
154	0.0	30	1352.5	False	0.0003821990779447
155	0.0	30	1346.5	False	0.0002161071891658
156	0.0006754966222888343	30	1358.0	False	0.0007886812293867
157	0.0	30	1368.5	False	0.0002861025677705
158	0.00045171622595273884	30	1371.5	False	0.0005722460658082
159	0.0	30	1377.0	False	0.0004040500071302
160	0.0	30	1379.0	False	0.0004529417373891
161	0.00041572554608519945	30	1375.0	False	0.0005239841852045
162	0.0	30	1406.0	False	0.0005814088699737
163	0.00046425265344961924	30	1390.5	False	0.0007050528789659
164	0.0	30	1404.5	False	0.00053635558043
165	0.0012412552294394123	30	1358.5	False	0.0016305670479435
166	0.0	30	1429.5	False	0.0004391540506182
167	0.0	30	1438.5	False	0.0002515320589042
168	0.0	30	1432.0	False	0.0005045524390523
169	0.0010241109165084793	30	1423.0	False	0.0012265395385434
170	0.0005185111154812911	30	1445.0	False	0.0006398829928241
171	0.0	30	1473.0	False	0.0005618103777612
172	0.0	30	1448.0	False	0.0002277385561375
173	0.000472107871246031	30	1448.5	False	0.0006373776462554
174	0.0	30	1436.5	False	0.0002730686084878
175	0.0	30	1461.0	False	0.0004300199167119
176	0.0	30	1453.5	False	0.0002273554019643
177	0.0	30	1427.5	False	0.0003210861887069
178	0.0	30	1391.0	False	0.0004018437536934
179	0.0	30	1374.0	False	0.0003094353994096
180	0.0	30	1381.5	False	0.0003769939445347
181	0.0	30	1430.5	False	0.0003251126283033
182	0.00080258511517224	30	1437.5	False	0.000624463351807
183	0.0	30	1409.0	False	0.0003755427766694
184	0.0	30	1427.5	False	0.0003699935251133
185	0.0008933022272736336	30	1411.0	False	0.0005514047034821
186	0.0	30	1418.5	False	0.0004487800269268
187	0.0	30	1434.0	False	0.0003749794933089
188	0.0004720043531269398	30	1422.0	False	0.0006387962240045
189	0.00075463816774641	30	1410.0	False	0.0084462109722294
190	0.0	30	1437.0	False	0.0001650087218895
191	0.0	30	1433.0	False	0.0001421699879155
192	0.0	30	1434.5	False	0.000402834056065
193	0.0	30	1418.5	False	0.0003590578322481
194	0.0	30	1449.5	False	0.0003053363397219
196	0.0	30	1443.5	False	0.000301344459898
197	0.0	30	1442.5	False	0.0004655710228595
198	0.0	30	1469.5	False	0.0002955284275614
199	0.0	30	1471.0	False	0.000321559315326
200	0.0005173096168683978	30	1481.5	False	0.0004828141165651
201	0.0	30	1482.0	False	0.00034037532052
202	0.00039360239910033736	30	1478.5	False	0.0004773161196472
203	0.0	30	1467.5	False	0.0499885242139086
204	0.0	30	1415.5	False	0.0663335712586248
205	0.0005405370864789629	30	1430.0	False	0.0006108017948175
206	0.0	30	1412.0	False	0.0001905351656465
207	0.0004639481753341598	30	1420.0	False	0.0005441468723384
208	0.0	30	1392.0	False	0.0003126427935836
209	0.0	30	1374.5	False	0.0003148690871218
210	0.0017264632465258374	30	1362.0	False	0.0017331868668375
211	0.0	30	1383.0	False	0.0003394433129667
212	0.0	30	1373.0	False	0.0001462308985888
213	0.0	30	1363.5	False	0.0002694757471827
214	0.0007524342302161835	30	1327.5	False	0.0011793340526434
215	0.0	30	1348.5	False	0.0002774204938084
216	0.0	30	1359.5	False	0.0002956975999211
217	0.0008703754204163257	30	1366.0	False	0.0009314182067748
218	0.00468774860779634	30	1401.0	False	0.0048073438821113
219	0.0	30	1390.0	False	0.0002424653880658
220	0.0002655337227827934	30	1398.5	False	0.0005285158314514
221	0.0	30	1420.0	False	0.0004025478913594
222	0.0	30	1434.5	False	0.0004452046769922
223	0.0	30	1436.5	False	0.0002559687252757
224	0.0	30	1454.5	False	0.0004158484463439
225	0.0005799683733106256	30	1458.0	False	0.0008768084173608
226	0.0001972386587771203	30	1419.0	False	0.0005663048607833
227	0.0	30	1428.5	False	0.0004447669655188
228	0.0004792766287845631	30	1460.0	False	0.0006709390833583
229	0.0	30	1470.0	False	0.0003677738191012
230	0.0	30	1450.5	False	0.000556418519463
231	0.0	30	1467.5	False	0.0003911102931026
232	0.0	30	1471.5	False	0.0002752482969011
233	0.0	30	1485.0	False	0.0003874643874643
234	0.0005264163799837132	30	1493.0	False	0.0009069883451997
235	0.0	30	1511.0	False	0.0002258866049243
236	0.0	30	1495.5	False	0.0003403907686023
237	0.0010876151368128298	30	1488.0	False	0.0019268706702757
238	0.0	30	1484.0	False	0.0002059779374742
239	0.0	30	1460.0	False	0.0004466279589102
240	0.0	30	1479.0	False	0.0002032382629903
241	0.0	30	1457.5	False	0.0003424032140248
242	0.0006640249701607636	30	1461.5	False	0.0006389922179876
243	0.0	30	1438.0	False	0.0002293262395083
244	0.0	30	1435.0	False	0.0004336909381419
245	0.0	30	1435.5	False	0.0003878268011132
246	0.0	30	1431.5	False	0.0004790036723614
247	0.0005821492292743702	30	1413.0	False	0.0005265652151018
248	0.0	30	1404.0	False	0.0002986857825567
249	0.0	30	1403.0	False	0.0002533803238661
250	0.0	30	1365.0	False	0.0003233911291325
251	0.0	30	1379.5	False	0.0003965477023559
252	0.0005040487593827613	30	1382.0	False	0.0005378104101388
253	0.000599015311398262	30	1409.0	False	0.000596699791155
254	0.0001973164956590371	30	1424.0	False	0.0005227510341379
255	0.0006443979458474699	30	1405.5	False	0.0007327349331379
256	0.0	30	1336.5	False	0.0003568454859046
257	0.00020695364238410596	30	1322.0	False	0.0005319277545395
258	0.0	30	1335.5	False	0.000431344356578
259	0.0	30	1307.5	False	0.0002434452369939
260	0.0005497024786038188	30	1334.0	False	0.0005021160605408
261	0.0	30	1364.5	False	0.0002816306414137
262	0.0	30	1326.0	False	0.000433944069431
264	0.0	30	1223.0	False	0.0003626661140325
265	0.0	30	1247.0	False	0.0004344492716585
266	0.0	30	1226.5	False	0.0006438486698086
267	0.0007944514501891551	30	1207.5	False	0.0008562310266988
268	0.0	30	1191.5	False	0.0003919724051426
269	0.0	30	1157.5	False	0.0004293342635575
270	0.0	30	1125.0	False	0.0005249778956675
271	0.0	30	1107.5	False	0.0003622481678602
272	0.0	30	1067.0	False	0.000491386287432
273	0.0006244535544153583	30	1081.0	False	0.0006557564007526
274	0.0	30	1082.0	False	0.0004557495656136
275	0.0	30	1083.0	False	0.0006273525721455
276	0.0	30	1066.0	False	0.0003189422714488
277	0.0	30	1069.0	False	0.0005171373574281
278	0.0	30	1058.5	False	0.000347906760988
279	0.0	30	1055.5	False	0.0004672760725446
280	0.0	30	1067.0	False	0.0004618537655514
281	0.0	30	1062.0	False	0.0005792568135082
282	0.0	30	1050.5	False	0.0006427718771999
283	0.0	30	1054.0	False	0.0004683292354525
284	0.0	30	1042.5	False	0.0004736390278558
285	0.0002986857825567503	30	1021.0	False	0.001439107753193
286	0.0	30	1022.0	False	0.0002996793431028
287	0.0	30	1021.5	False	0.0003290851433016
288	0.0	30	1020.5	False	0.0003297362110311
289	0.0	30	1010.5	False	0.0001215399106681
290	0.0	30	959.0	False	0.0005093594804533
291	0.0010790397332294754	30	928.0	False	0.0014203137902559
292	0.00662442975599499	30	907.0	False	0.0078156719447827
293	0.000273972602739726	30	849.0	False	0.0006517960602549
294	0.0	30	832.5	False	0.0011109465264405
295	0.05223626198809145	30	762.0	False	0.063822312436568
296	0.010633227575074448	30	719.5	False	0.0136323842081127
297	0.0011965487301931843	30	616.5	False	0.0036450233281493
298	0.0	30	717.0	False	0.0013070242010287
299	0.0	30	701.5	False	0.0009488484430259
300	0.0	30	687.0	False	0.001532332209623
301	0.0	30	630.0	False	0.000602912531305
302	0.009392625877066584	30	534.0	False	0.0107877289583099
303	0.002799227421067272	30	739.0	False	0.0051072943696198
304	0.0	30	705.0	False	0.0006921612735767
305	0.0	30	713.5	False	0.0004683441904032
306	0.00036683785766691124	30	737.5	False	0.0007932862928478
307	0.0	30	722.0	False	0.0008893406174564
308	0.0	30	704.5	False	0.0002608922515001
309	0.07302138739591746	30	620.5	False	0.0791501172417093
311	0.0031980148140079516	30	685.0	False	0.0250918263486303
312	0.0003968253968253968	30	701.5	False	0.0076608564665375
313	0.0	30	719.5	False	0.0009306654257794
314	0.0	30	718.5	False	0.0002104111433741
315	0.0	30	716.0	False	0.00016905456236
316	0.0	30	676.5	False	0.0005888747961587
317	0.0	30	689.5	False	0.0004857584455729
318	0.0	30	716.0	False	0.0003453485862292
319	0.0	30	716.5	False	0.0005611187845303
320	0.0	30	726.0	False	0.0001273182531935
321	0.0	30	727.5	False	0.0005501946842728
322	0.0	30	734.0	False	0.0003353032398675
323	0.0	30	732.5	False	0.0002527592889038
324	0.0	30	729.5	False	0.0004211412929037
325	0.0	30	734.5	False	0.0003347700548185
326	0.0	30	726.5	False	0.0004664376881652
327	0.0	30	741.0	False	0.0002909151358989
328	0.0	30	741.0	False	0.0003315924728508
329	0.0	30	739.0	False	0.0003743604675346
330	0.0	30	743.0	False	0.0004979459728619
331	0.0	30	725.5	False	0.0003837625788845
332	0.0	30	753.0	False	0.0004510599909788
333	0.0	30	751.5	False	0.0005348033569195
334	0.0	30	744.5	False	0.0003284341899991
335	0.0	30	751.0	False	0.0002048928410441
336	0.0	30	750.0	False	0.0003279494957776
337	0.0	30	738.0	False	0.0004586773413393
338	0.0	30	732.0	False	0.0006279303415941
339	0.0	30	678.5	False	0.0005827244609798
340	0.0	30	707.0	False	0.0003453485862292
341	0.0	30	693.5	False	0.0005298715061597
342	0.0	30	676.0	False	0.0009117016912066
343	0.0	30	693.0	False	0.0005277044854881
344	0.0009578024758290413	30	665.5	False	0.0010095911155981
345	0.0	30	692.0	False	0.0005743571617919
346	0.0	30	683.5	False	0.0004932956634826
347	0.0	30	681.5	False	0.0008111396512099
348	0.0	30	642.5	False	0.0002853067047075
349	0.0	30	644.0	False	0.0003324310205632
350	0.0	30	641.0	False	0.0003346560214179
351	0.0	30	634.5	False	0.0002882813626099
352	0.0	30	619.5	False	0.0004944620253164
353	0.0	30	637.0	False	0.0005729838132072
354	0.0	30	636.5	False	0.0003837298541826
355	0.0	30	643.5	False	0.0004295122649613
356	0.0	30	650.0	False	0.0002344885804061
357	0.000973537397378457	30	625.5	False	0.0008198513336248
358	0.0	30	634.5	False	0.0004697923517805
359	0.0	30	636.5	False	0.0001406667604445
360	0.0	30	626.5	False	0.0004263584253162
361	0.0	30	615.0	False	0.0003401525827299
362	0.0	30	621.0	False	0.0004809079542175
363	0.0	30	611.0	False	0.0004925137903861
364	0.0	30	610.5	False	0.0004950495049504
365	0.0	30	601.5	False	0.000498330592515
366	0.0	30	577.0	False	0.000574412532637
367	0.0	30	561.5	False	0.0005010577886649
368	0.0	30	543.5	False	0.0017781346793621
369	0.0	30	557.0	False	0.0005011693952555
370	0.0	30	533.0	False	0.0003477656059815
371	0.0	30	524.0	False	5.862351975612616e-05
372	0.0006305170239596469	30	486.5	False	0.0014490927419354
373	0.0	30	489.0	False	0.0005761843790012
374	0.0	30	467.5	False	0.000886706227406
375	0.0	30	456.5	False	0.0009685230024213
376	0.0	30	400.5	False	0.002
377	0.0	30	406.5	False	0.0012444582717585
378	0.0	30	393.0	False	0.0014457831325301
379	0.002499719132681721	30	388.5	False	0.0034353018158023
380	0.0032565873083114463	30	374.0	False	0.004541559554413
381	0.0	30	319.5	False	0.0002004008016032
382	0.0	30	301.5	False	0.0002136752136752
383	0.0	30	278.0	False	0.0014852050725465
384	0.0	30	277.0	False	0.0002280501710376
385	0.0	30	273.0	False	0.0018639328984156
386	0.0	30	275.5	False	0.0002297002411852
387	0.0	29	262.0	False	0.0001250625312656
388	0.0	29	241.0	False	0.0005392289026691
389	0.0	29	233.0	False	0.0006926167059149
390	0.0	29	209.0	False	0.0005979073243647
391	0.0	29	201.0	False	0.0006233442418575
392	0.0	27	194.0	False	0.0001666944490748
393	0.0	26	193.5	False	0.0005175090564084
394	0.0	26	196.5	False	0.0013733905579399
395	0.0	26	191.5	False	0.0005216484089723
396	0.0	26	188.5	False	0.0010649627263045
397	0.0	26	182.0	False	0.0009208103130755
398	0.0	25	180.0	False	0.0009491268033409
399	0.0	25	180.0	False	0.0011370096645821
400	0.0	25	179.0	False	0.0007581501137225
401	0.0	25	179.0	False	0.0003802281368821
402	0.0	24	177.5	False	0.0003940110323089
403	0.0	25	174.0	False	0.0013725490196078
404	0.0	25	175.0	False	0.001170503316426
405	0.0	24	175.5	False	0.0005974905397331
406	0.0	25	178.0	False	0.0007739938080495
407	0.0	24	176.5	False	0.000801442596674
408	0.0	24	174.5	False	0.0014129995962858
409	0.0	24	171.0	False	0.0008240626287597
410	0.0	23	175.0	False	0.0006374840628984
411	0.0	22	167.0	False	0.0002207018318252
412	0.0	22	168.5	False	0.0004416961130742
413	0.0	22	164.0	False	0.0002230649118893
414	0.0	22	158.5	False	0.00046490004649
415	0.0	22	164.0	False	0.0
416	0.0	22	168.5	False	0.0
417	0.0	25	176.0	False	0.0005822981366459
418	0.0	23	182.0	False	0.0004027386226339
419	0.0	22	179.5	False	0.0010532968190436
420	0.0	27	184.0	False	0.0005260389268805
421	0.0	27	191.0	False	0.0005040322580645
422	0.0	27	193.0	False	0.0005014206919605
423	0.0	27	196.0	False	0.0008361204013377
424	0.0	27	195.0	False	0.0006692320562154
425	0.0	27	199.0	False	0.0001664447403462
426	0.0	28	196.0	False	0.0003271716015049
427	0.0	28	200.5	False	0.0003236769703835
428	0.0	27	194.0	False	0.0001701837985023
429	0.0	26	192.5	False	0.0005180452426178
430	0.0	26	187.0	False	0.0008938148015731
431	0.0	24	188.5	False	0.0001882530120481
432	0.0	22	171.5	False	0.0
433	0.0	25	190.0	False	0.0003669051550174
434	0.0	23	193.0	False	0.0001912411550965
435	0.0	24	194.0	False	0.0
436	0.0	25	198.0	False	0.0001790830945558
437	0.0	25	200.0	False	0.0001787949222242
438	0.0	26	197.0	False	0.0005258545135845
439	0.0	24	202.5	False	0.0001830161054172
440	0.0	23	207.0	False	0.000749203970781
441	0.0	26	203.5	False	0.0001701548409052
442	0.0	26	203.0	False	0.0003395009336275
443	0.0	26	207.0	False	0.0003379520108144
444	0.0	27	203.0	False	0.0004999166805532
445	0.0	26	205.0	False	0.0
446	0.0	24	202.0	False	0.0001823154056517
447	0.0	25	203.0	False	0.0001751313485113
448	0.0	27	201.0	False	0.000168605631428
449	0.0	27	204.0	False	0.0001678415575696
450	0.0	26	205.0	False	0.0005152868430092
451	0.0	27	199.0	False	0.000672268907563
452	0.0	27	205.0	False	0.0003291097581043
453	0.0	27	207.0	False	0.0004928536224741
454	0.0	27	208.0	False	0.0003292181069958
455	0.0	26	202.5	False	0.0003460806367883
456	0.0	26	198.5	False	0.0121762990910649
457	0.0	26	198.5	False	0.0003465603881476
458	0.0	24	200.5	False	0.0003731343283582
459	0.0	24	201.5	False	0.0005578281889178
460	0.0	23	191.0	False	0.0013980427401637
461	0.0	24	194.5	False	0.0009437523593808
462	0.0	24	191.5	False	0.0003809523809523
463	0.0	23	185.0	False	0.0002009242515571
464	0.0	22	167.0	False	0.0007420232500618
465	0.0	23	185.0	False	0.0002012072434607
466	0.0	22	188.5	False	0.0006444683136412
467	0.0	24	186.0	False	0.0007832386919913
468	0.0	23	186.0	False	0.0003997601439136
469	0.0	24	184.0	False	0.000197511356903
470	0.0	23	181.0	False	0.0
471	0.0	23	178.0	False	0.0004142502071251
472	0.0	23	177.0	False	0.0002094679514034
473	0.0	23	187.0	False	0.0004015257980325
474	0.0	23	186.0	False	0.0006150061500615
475	0.0	22	188.0	False	0.0
476	0.0	24	193.5	False	0.0001944768572539
477	0.0	24	189.0	False	0.0
478	0.0	23	198.0	False	0.0003955696202531
479	0.0	23	191.0	False	0.000200964630225
480	0.0	23	189.0	False	0.0006204756980351
481	0.0	23	195.0	False	0.0005976095617529
482	0.0	23	193.0	False	0.0006176652254478
483	0.0	25	199.0	False	0.0001884303749764
484	0.0	24	197.0	False	0.0007797270955165
485	0.0	24	190.0	False	0.0002004811547714
486	0.0	24	195.5	False	0.0003920799843168
487	0.0	24	196.5	False	0.0005817335660267
488	0.0	24	195.5	False	0.0003918495297805
489	0.0	24	196.0	False	0.0013853156540668
490	0.0	22	194.5	False	0.0002114611968703
491	0.0	24	199.5	False	0.0001944768572539
492	0.0	23	193.0	False	0.001233806292412
493	0.0	21	162.0	False	0.0002570033410434
494	0.0	25	201.0	False	0.0005555555555555
495	0.0	25	199.0	False	0.0003749531308586
496	0.0	25	199.0	False	0.0001865671641791
497	0.0	25	196.0	False	0.0001922707171697
498	0.0	25	192.0	False	0.0005563798219584
499	0.0	24	187.0	False	0.0029148448886112
500	0.0	24	195.5	False	0.0001940993788819
501	0.0	24	195.0	False	0.0007806401249024
502	0.0	24	188.5	False	0.001000200040008
503	0.0	23	189.0	False	0.000624349635796
504	0.0	23	180.0	False	0.0008501594048884
505	0.0	24	185.0	False	0.0004023335345001
506	0.0	24	187.5	False	0.0002018978396931
507	0.0	23	181.0	False	0.0004314994606256
508	0.0	22	169.0	False	0.0009560229445506
509	0.0	24	185.5	False	0.0002046245140167
510	0.0	24	185.0	False	0.0002058036633052
511	0.0	23	190.0	False	0.0002123593119558
512	0.0	23	183.0	False	0.0004316857327865
513	0.0	23	177.0	False	0.0010919414719371
514	0.0	18	189.5	False	0.0010584810796507
515	0.0	17	181.0	False	0.0
516	0.0	22	179.0	False	0.0004627487274409
517	0.0	22	167.0	False	0.0009881422924901
518	0.0	22	171.5	False	0.0009523809523809
519	0.0	22	165.5	False	0.0007505629221916
520	0.0	22	172.0	False	0.0004826254826254
521	0.0	21	163.0	False	0.0008019246190858
522	0.0	22	170.0	False	0.0004906771344455
523	0.0	20	160.0	False	0.0011799410029498
524	0.0	22	167.5	False	0.0005008765339343
525	0.0	22	161.5	False	0.0
526	0.0	22	159.5	False	0.0005153311002318
527	0.0	22	158.5	False	0.0007763975155279
528	0.0	22	157.0	False	0.0002647603918453
529	0.0	22	157.0	False	0.001058201058201
530	0.0	21	153.0	False	0.0005561735261401
531	0.0	21	151.0	False	0.0008498583569405
532	0.0	21	150.0	False	0.0002863688430698
533	0.0	21	146.0	False	0.0002964719833975
534	0.0	21	146.0	False	0.0002880184331797
535	0.0	21	143.0	False	0.0
536	0.0	21	140.0	False	0.0002970885323826
537	0.0	21	139.0	False	0.000603318250377
538	0.0	18	140.5	False	0.0003444712366517
539	0.0	18	134.0	False	0.0007315288953913
540	0.0	14	119.0	False	0.002568053415511
541	0.0	19	136.0	False	0.0
542	0.0	18	142.5	False	0.0
543	0.0	19	139.0	False	0.0006736274840013
544	0.0	19	137.0	False	0.000337723741979
545	0.0	17	140.0	False	0.0015020653398422
546	0.0	17	134.0	False	0.0004008016032064
547	0.0	16	131.0	False	0.0008810572687224
548	0.0	16	134.5	False	0.0
549	0.0	13	130.0	False	0.0
550	0.0	13	129.0	False	0.0
551	0.0	13	130.0	False	0.0
552	0.0	13	131.0	False	0.0005494505494505
553	0.0	12	127.0	False	0.0
554	0.0	11	128.0	False	0.0
555	0.0	11	125.0	False	0.0006934812760055
556	0.0	8	121.0	False	0.0
557	0.0	10	121.5	False	0.0
558	0.0	8	114.5	False	0.0019940179461615
559	0.0	7	117.0	False	0.0033519553072625
560	0.0	7	119.0	False	0.0011415525114155
561	0.0	7	122.0	False	0.0011600928074245
562	0.0	7	121.0	False	0.0
563	0.0	6	118.0	False	0.0
564	0.0	4	108.0	False	0.0022988505747126
568	0.001953125	2	220.5	False	0.0022675736961451
569	0.0	2	238.5	False	0.0
570	0.004901960784313725	2	254.0	False	0.0059055118110236
571	0.0	4	170.0	False	0.0
572	0.0	7	129.0	False	0.0030935808197989
573	0.0	14	164.5	False	0.0022213994816734
574	0.0	16	136.5	False	0.0017618040873854
575	0.0	16	144.0	False	0.001325381047051
576	0.0	26	135.0	False	0.0004291845493562
577	0.0	30	186.5	False	0.0004159157077498
578	0.0	30	189.5	False	0.0006782419967444
579	0.0	30	192.0	False	0.0006556517178075
580	0.0	30	202.0	False	0.0001233045622688
581	0.0	30	230.0	False	0.0002207505518763
582	0.0	30	251.0	False	0.0007209062821833
583	0.0	30	275.5	False	0.0005656108597285
584	0.0	30	279.5	False	0.0010308312248149
585	0.0	30	300.5	False	0.0007072761029086
586	0.0	30	315.5	False	0.0002489213408562
587	0.0	30	362.0	False	0.0005193648909333
588	0.0	30	364.5	False	0.0003681614019586
589	0.0	30	365.5	False	0.0004392065002562
