rel_threshold	tissue	role	mapq_min	strand	start	end	length	genes	gene_types
0.02	lcl	primary	255	both	7317	7600	284	MT-CO1,MT-TS1,MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.02	lcl	primary	255	both	7938	7998	61	MT-CO2	protein_coding
0.02	lcl	primary	255	both	8252	8374	123	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	lcl	primary	255	both	8560	8654	95	MT-ATP8,MT-ATP6	protein_coding
0.02	lcl	primary	255	both	8662	9064	403	MT-ATP6	protein_coding
0.02	lcl	primary	255	both	9079	9164	86	MT-ATP6	protein_coding
0.02	lcl	primary	255	both	9170	9244	75	MT-ATP6,MT-CO3	protein_coding
0.02	lcl	primary	255	both	9339	9427	89	MT-CO3	protein_coding
0.02	lcl	primary	255	both	9441	9525	85	MT-CO3	protein_coding
0.02	lcl	primary	255	both	9551	9625	75	MT-CO3	protein_coding
0.02	lcl	primary	255	both	9638	9738	101	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	0	+	1021	1278	258	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	0	+	1418	1515	98	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	0	+	3921	4035	115	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	0	+	4123	4286	164	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	+	4338	4444	107	MT-TQ,MT-TM	Mt_tRNA
0.02	skeletal_muscle	replication	0	+	4457	4860	404	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	+	5583	5818	236	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	skeletal_muscle	replication	0	+	5846	6021	176	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	+	6027	6220	194	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	+	6691	6929	239	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	+	6954	7133	180	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	+	7320	7520	201	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	+	8251	8361	111	MT-CO2,MT-TK	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	+	8568	8620	53	MT-ATP8,MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	0	+	8708	9057	350	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	0	+	9635	9740	106	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	0	-	1040	1265	226	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	0	-	1679	1707	29	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	0	-	1903	1993	91	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	0	-	2259	2324	66	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	0	-	2449	2497	49	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	0	-	3922	4029	108	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	0	-	4109	4311	203	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	-	4322	4449	128	MT-TI,MT-TQ,MT-TM	Mt_tRNA
0.02	skeletal_muscle	replication	0	-	4457	4865	409	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	-	5589	5817	229	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	skeletal_muscle	replication	0	-	5845	6019	175	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	-	6028	6219	192	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	-	6668	6931	264	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	-	6942	7142	201	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	-	7323	7519	197	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	-	8207	8386	180	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	-	8726	9056	331	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	0	-	9645	9740	96	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	0	both	1021	1278	258	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	0	both	1418	1515	98	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	0	both	3921	4035	115	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	0	both	4123	4308	186	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	both	4332	4444	113	MT-TQ,MT-TM	Mt_tRNA
0.02	skeletal_muscle	replication	0	both	4457	4861	405	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	both	5584	5818	235	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	skeletal_muscle	replication	0	both	5846	6021	176	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	both	6027	6220	194	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	both	6691	6929	239	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	both	6954	7133	180	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	0	both	7320	7520	201	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	both	8245	8371	127	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	0	both	8568	8620	53	MT-ATP8,MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	0	both	8708	9057	350	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	0	both	9635	9740	106	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	+	1020	1278	259	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	+	1417	1517	101	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	+	3914	4042	129	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	255	+	4110	4308	199	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	4331	4884	554	MT-TI,MT-TQ,MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	5042	5145	104	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	+	5149	5319	171	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	+	5582	5839	258	MT-TA,MT-TN,MT-TC,MT-TY	Mt_tRNA
0.02	skeletal_muscle	replication	255	+	5845	6221	377	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	6689	6932	244	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	+	6938	7142	205	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	+	7317	7521	205	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	7525	7601	77	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	7716	7792	77	MT-CO2	protein_coding
0.02	skeletal_muscle	replication	255	+	8250	8370	121	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	+	8550	8651	102	MT-ATP8,MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	+	8704	9074	371	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	+	9104	9212	109	MT-ATP6,MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	+	9635	9741	107	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	-	1022	1112	91	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	1195	1265	71	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	1419	1495	77	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	1679	1707	29	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	1770	1840	71	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	1893	1994	102	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	2449	2516	68	MT-RNR2	Mt_rRNA
0.02	skeletal_muscle	replication	255	-	3916	4043	128	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	255	-	4107	4312	206	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	4322	4454	133	MT-TI,MT-TQ,MT-TM	Mt_tRNA
0.02	skeletal_muscle	replication	255	-	4457	4877	421	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	5045	5142	98	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	-	5149	5318	170	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	-	5589	5819	231	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	skeletal_muscle	replication	255	-	5844	6023	180	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	6025	6220	196	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	-	6656	6932	277	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	-	6938	7143	206	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	-	7320	7519	200	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	7525	7628	104	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	7709	7804	96	MT-CO2	protein_coding
0.02	skeletal_muscle	replication	255	-	8207	8386	180	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	-	8549	8652	104	MT-ATP8,MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	-	8704	9059	356	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	-	9129	9167	39	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	-	9332	9433	102	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	-	9644	9740	97	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	both	1020	1278	259	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	both	1417	1517	101	MT-RNR1	Mt_rRNA
0.02	skeletal_muscle	replication	255	both	3914	4042	129	MT-ND1	protein_coding
0.02	skeletal_muscle	replication	255	both	4110	4311	202	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	4328	4884	557	MT-TI,MT-TQ,MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	5042	5145	104	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	both	5149	5319	171	MT-ND2	protein_coding
0.02	skeletal_muscle	replication	255	both	5582	5839	258	MT-TA,MT-TN,MT-TC,MT-TY	Mt_tRNA
0.02	skeletal_muscle	replication	255	both	5845	6221	377	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	6689	6932	244	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	both	6938	7142	205	MT-CO1	protein_coding
0.02	skeletal_muscle	replication	255	both	7317	7521	205	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	7525	7601	77	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	7716	7793	78	MT-CO2	protein_coding
0.02	skeletal_muscle	replication	255	both	8244	8372	129	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	skeletal_muscle	replication	255	both	8550	8651	102	MT-ATP8,MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	both	8704	9074	371	MT-ATP6	protein_coding
0.02	skeletal_muscle	replication	255	both	9104	9212	109	MT-ATP6,MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	both	9366	9416	51	MT-CO3	protein_coding
0.02	skeletal_muscle	replication	255	both	9635	9741	107	MT-CO3	protein_coding
0.05	lcl	primary	0	both	1029	1264	236	MT-RNR1	Mt_rRNA
0.05	lcl	primary	0	both	3958	4019	62	MT-ND1	protein_coding
0.05	lcl	primary	0	both	4122	4308	187	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	lcl	primary	0	both	4333	4439	107	MT-TQ,MT-TM	Mt_tRNA
0.05	lcl	primary	0	both	4459	4849	391	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	lcl	primary	0	both	5058	5118	61	MT-ND2	protein_coding
0.05	lcl	primary	0	both	5590	5813	224	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	lcl	primary	0	both	5848	6013	166	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	lcl	primary	0	both	6031	6211	181	MT-CO1	protein_coding
0.05	lcl	primary	0	both	6691	6924	234	MT-CO1	protein_coding
0.05	lcl	primary	0	both	6952	7132	181	MT-CO1	protein_coding
0.05	lcl	primary	0	both	7329	7519	191	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	lcl	primary	0	both	7553	7585	33	MT-TD	Mt_tRNA
0.05	lcl	primary	0	both	8285	8369	85	MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.05	lcl	primary	0	both	8687	9052	366	MT-ATP6	protein_coding
0.05	lcl	primary	0	both	9083	9157	75	MT-ATP6	protein_coding
0.05	lcl	primary	255	both	1023	1265	243	MT-RNR1	Mt_rRNA
0.05	lcl	primary	255	both	1334	1367	34	MT-RNR1	Mt_rRNA
0.05	lcl	primary	255	both	1442	1489	48	MT-RNR1	Mt_rRNA
0.05	lcl	primary	255	both	3945	4030	86	MT-ND1	protein_coding
0.05	lcl	primary	255	both	4113	4309	197	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	4322	4450	129	MT-TI,MT-TQ,MT-TM	Mt_tRNA
0.05	lcl	primary	255	both	4458	4854	397	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	5046	5134	89	MT-ND2	protein_coding
0.05	lcl	primary	255	both	5157	5305	149	MT-ND2	protein_coding
0.05	lcl	primary	255	both	5585	5817	233	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	lcl	primary	255	both	5846	6018	173	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	6027	6217	191	MT-CO1	protein_coding
0.05	lcl	primary	255	both	6678	6929	252	MT-CO1	protein_coding
0.05	lcl	primary	255	both	6940	7140	201	MT-CO1	protein_coding
0.05	lcl	primary	255	both	7155	7222	68	MT-CO1	protein_coding
0.05	lcl	primary	255	both	7322	7520	199	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	7524	7597	74	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	8285	8370	86	MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.05	lcl	primary	255	both	8567	8638	72	MT-ATP8,MT-ATP6	protein_coding
0.05	lcl	primary	255	both	8680	9055	376	MT-ATP6	protein_coding
0.05	lcl	primary	255	both	9083	9157	75	MT-ATP6	protein_coding
0.05	lcl	primary	255	both	9194	9219	26	MT-ATP6,MT-CO3	protein_coding
0.05	lcl	primary	255	both	9451	9514	64	MT-CO3	protein_coding
0.05	lcl	primary	255	both	9674	9706	33	MT-CO3	protein_coding
0.05	skeletal_muscle	replication	0	+	1023	1265	243	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	0	+	4153	4261	109	MT-ND1	protein_coding
0.05	skeletal_muscle	replication	0	+	4345	4414	70	MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	0	+	4468	4850	383	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	+	5585	5817	233	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	0	+	5854	6017	164	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	+	6033	6219	187	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	+	6705	6902	198	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	+	6978	7118	141	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	+	7326	7519	194	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	+	8295	8328	34	MT-TK	Mt_tRNA
0.05	skeletal_muscle	replication	0	+	8725	8944	220	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	0	+	8958	9042	85	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	0	-	1040	1265	226	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	0	-	1912	1993	82	MT-RNR2	Mt_rRNA
0.05	skeletal_muscle	replication	0	-	4120	4309	190	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	-	4332	4437	106	MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	0	-	4461	4855	395	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	-	5592	5795	204	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	0	-	5846	6016	171	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	-	6039	6197	159	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	-	6691	6928	238	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	-	6949	7132	184	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	-	7348	7504	157	MT-CO1,MT-TS1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	-	8215	8374	160	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	-	8733	9037	305	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	0	both	1023	1265	243	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	0	both	4153	4293	141	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	both	4343	4418	76	MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	0	both	4468	4850	383	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	both	5585	5817	233	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	0	both	5854	6017	164	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	both	6033	6219	187	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	both	6705	6902	198	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	both	6977	7118	142	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	0	both	7326	7519	194	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	0	both	8286	8359	74	MT-TK	Mt_tRNA
0.05	skeletal_muscle	replication	0	both	8725	8944	220	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	0	both	8957	9042	86	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	255	+	1022	1265	244	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	255	+	3936	4021	86	MT-ND1	protein_coding
0.05	skeletal_muscle	replication	255	+	4121	4284	164	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	+	4338	4431	94	MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	255	+	4467	4864	398	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	+	5162	5314	153	MT-ND2	protein_coding
0.05	skeletal_muscle	replication	255	+	5584	5818	235	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	255	+	5853	6019	167	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	+	6031	6220	190	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	+	6693	6930	238	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	+	6943	7134	192	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	+	7322	7520	199	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	+	7527	7593	67	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	+	8295	8338	44	MT-TK	Mt_tRNA
0.05	skeletal_muscle	replication	255	+	8719	9056	338	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	255	+	9699	9720	22	MT-CO3	protein_coding
0.05	skeletal_muscle	replication	255	-	1022	1112	91	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	255	-	1195	1265	71	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	255	-	1419	1495	77	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	255	-	1906	1993	88	MT-RNR2	Mt_rRNA
0.05	skeletal_muscle	replication	255	-	3923	4032	110	MT-ND1	protein_coding
0.05	skeletal_muscle	replication	255	-	4117	4311	195	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	4331	4449	119	MT-TI,MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	255	-	4460	4861	402	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	5151	5312	162	MT-ND2	protein_coding
0.05	skeletal_muscle	replication	255	-	5589	5818	230	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	255	-	5846	6018	173	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	6029	6216	188	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	-	6690	6930	241	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	-	6942	7135	194	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	-	7326	7519	194	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	7534	7587	54	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	8215	8374	160	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	-	8562	8634	73	MT-ATP8,MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	255	-	8727	9043	317	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	255	-	9343	9428	86	MT-CO3	protein_coding
0.05	skeletal_muscle	replication	255	both	1022	1265	244	MT-RNR1	Mt_rRNA
0.05	skeletal_muscle	replication	255	both	3936	4021	86	MT-ND1	protein_coding
0.05	skeletal_muscle	replication	255	both	4121	4303	183	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	both	4338	4431	94	MT-TQ,MT-TM	Mt_tRNA
0.05	skeletal_muscle	replication	255	both	4467	4864	398	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	both	5162	5314	153	MT-ND2	protein_coding
0.05	skeletal_muscle	replication	255	both	5584	5818	235	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.05	skeletal_muscle	replication	255	both	5853	6019	167	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	both	6031	6220	190	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	both	6693	6930	238	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	both	6943	7134	192	MT-CO1	protein_coding
0.05	skeletal_muscle	replication	255	both	7322	7519	198	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	both	7527	7593	67	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.05	skeletal_muscle	replication	255	both	8286	8364	79	MT-TK	Mt_tRNA
0.05	skeletal_muscle	replication	255	both	8719	9056	338	MT-ATP6	protein_coding
0.05	skeletal_muscle	replication	255	both	9700	9720	21	MT-CO3	protein_coding
0.1	lcl	primary	0	both	1048	1242	195	MT-RNR1	Mt_rRNA
0.1	lcl	primary	0	both	4144	4303	160	MT-ND1,MT-TI	Mt_tRNA,protein_coding
