region	pos	depth_indel_reads	depth_clean_reads	alt_from_indel_reads	alt_from_clean_reads	run_accession	tissue
co1_control	6000	3	5999	0	1	ERR188225	lcl
co1_control	6001	3	5825	0	1	ERR188225	lcl
co1_control	6002	3	5581	0	3	ERR188225	lcl
co1_control	6003	3	5590	0	1	ERR188225	lcl
co1_control	6004	3	4439	0	3	ERR188225	lcl
co1_control	6005	3	4628	0	1	ERR188225	lcl
co1_control	6006	3	4633	0	0	ERR188225	lcl
co1_control	6007	3	4308	0	3	ERR188225	lcl
co1_control	6008	3	4329	0	2	ERR188225	lcl
co1_control	6009	3	4401	0	2	ERR188225	lcl
co1_control	6010	2	4494	0	2	ERR188225	lcl
co1_control	6011	2	4491	0	2	ERR188225	lcl
co1_control	6012	2	4417	0	1	ERR188225	lcl
co1_control	6013	2	4523	0	1	ERR188225	lcl
co1_control	6014	2	3896	0	2	ERR188225	lcl
co1_control	6015	2	4082	0	5	ERR188225	lcl
poly_c_hvs2	303	478	564	0	1	ERR188214	lcl
poly_c_hvs2	304	468	517	0	0	ERR188214	lcl
poly_c_hvs2	305	461	537	0	1	ERR188214	lcl
poly_c_hvs2	306	452	583	0	1	ERR188214	lcl
poly_c_hvs2	307	453	575	0	2	ERR188214	lcl
poly_c_hvs2	308	451	550	0	1	ERR188214	lcl
poly_c_hvs2	309	496	393	4	114	ERR188214	lcl
poly_c_hvs2	310	448	457	11	2	ERR188214	lcl
poly_c_hvs2	311	442	544	6	38	ERR188214	lcl
poly_c_hvs2	312	427	600	0	0	ERR188214	lcl
poly_c_hvs2	313	419	625	0	0	ERR188214	lcl
poly_c_hvs2	314	423	638	0	1	ERR188214	lcl
poly_c_hvs2	315	423	644	0	1	ERR188214	lcl
poly_c_hvs1	16180	13	1690	0	0	ERR188214	lcl
poly_c_hvs1	16181	13	1732	0	0	ERR188214	lcl
poly_c_hvs1	16182	10	1688	0	0	ERR188214	lcl
poly_c_hvs1	16183	9	1451	0	0	ERR188214	lcl
poly_c_hvs1	16184	9	1676	0	0	ERR188214	lcl
poly_c_hvs1	16185	9	1582	0	0	ERR188214	lcl
poly_c_hvs1	16186	9	1567	0	2	ERR188214	lcl
poly_c_hvs1	16187	6	1306	1	10	ERR188214	lcl
poly_c_hvs1	16188	7	1566	0	2	ERR188214	lcl
poly_c_hvs1	16189	7	1586	1	9	ERR188214	lcl
poly_c_hvs1	16190	7	1699	0	0	ERR188214	lcl
poly_c_hvs1	16191	7	1725	0	1	ERR188214	lcl
poly_c_hvs1	16192	6	1702	0	0	ERR188214	lcl
poly_c_hvs1	16193	7	1689	0	0	ERR188214	lcl
poly_c_hvs1	16194	7	1692	0	0	ERR188214	lcl
poly_c_hvs1	16195	7	1687	0	0	ERR188214	lcl
rnr2_control	2000	21	7845	0	6	ERR188214	lcl
rnr2_control	2001	19	7204	0	7	ERR188214	lcl
rnr2_control	2002	18	7205	0	7	ERR188214	lcl
rnr2_control	2003	18	7139	0	10	ERR188214	lcl
rnr2_control	2004	16	7498	0	4	ERR188214	lcl
rnr2_control	2005	14	7357	0	6	ERR188214	lcl
rnr2_control	2006	14	7369	0	6	ERR188214	lcl
rnr2_control	2007	13	7198	0	24	ERR188214	lcl
rnr2_control	2008	12	7121	0	4	ERR188214	lcl
rnr2_control	2009	12	6907	0	8	ERR188214	lcl
rnr2_control	2010	10	6268	0	6	ERR188214	lcl
rnr2_control	2011	10	6220	0	9	ERR188214	lcl
rnr2_control	2012	7	5939	0	3	ERR188214	lcl
rnr2_control	2013	7	5910	0	1	ERR188214	lcl
rnr2_control	2014	8	5807	0	2	ERR188214	lcl
rnr2_control	2015	8	5989	0	5	ERR188214	lcl
co1_control	6000	10	5572	0	1	ERR188214	lcl
co1_control	6001	8	4809	0	0	ERR188214	lcl
co1_control	6002	8	4538	0	0	ERR188214	lcl
co1_control	6003	8	4522	0	0	ERR188214	lcl
co1_control	6004	8	3257	0	2	ERR188214	lcl
co1_control	6005	5	3106	0	0	ERR188214	lcl
co1_control	6006	3	3090	0	2	ERR188214	lcl
co1_control	6007	2	2318	0	3	ERR188214	lcl
co1_control	6008	2	2330	0	2	ERR188214	lcl
co1_control	6009	1	2571	0	2	ERR188214	lcl
co1_control	6010	1	2755	0	1	ERR188214	lcl
co1_control	6011	1	3045	0	1	ERR188214	lcl
co1_control	6012	1	3342	0	1	ERR188214	lcl
co1_control	6013	2	3874	0	1	ERR188214	lcl
co1_control	6014	2	3745	0	1	ERR188214	lcl
co1_control	6015	3	4211	0	12	ERR188214	lcl
poly_c_hvs2	303	2372	1638	3	2	ERR188039	lcl
poly_c_hvs2	304	2375	1484	1	0	ERR188039	lcl
poly_c_hvs2	305	2366	1506	0	1	ERR188039	lcl
poly_c_hvs2	306	2217	1738	0	2	ERR188039	lcl
poly_c_hvs2	307	2227	1710	2	3	ERR188039	lcl
poly_c_hvs2	308	2236	1652	2	1	ERR188039	lcl
poly_c_hvs2	309	2337	1272	2	113	ERR188039	lcl
poly_c_hvs2	310	1551	1504	66	947	ERR188039	lcl
poly_c_hvs2	311	2229	1665	0	2	ERR188039	lcl
poly_c_hvs2	312	2220	1780	0	1	ERR188039	lcl
poly_c_hvs2	313	2216	1818	0	1	ERR188039	lcl
poly_c_hvs2	314	2242	1766	0	3	ERR188039	lcl
poly_c_hvs2	315	2234	1771	0	1	ERR188039	lcl
poly_c_hvs1	16180	3	2209	0	2	ERR188039	lcl
poly_c_hvs1	16181	3	2348	0	2	ERR188039	lcl
poly_c_hvs1	16182	2	2313	0	1	ERR188039	lcl
poly_c_hvs1	16183	1	2142	0	4	ERR188039	lcl
poly_c_hvs1	16184	3	2361	0	1	ERR188039	lcl
poly_c_hvs1	16185	3	2254	0	0	ERR188039	lcl
poly_c_hvs1	16186	3	2257	0	2	ERR188039	lcl
poly_c_hvs1	16187	3	2269	0	1	ERR188039	lcl
poly_c_hvs1	16188	3	2222	0	0	ERR188039	lcl
poly_c_hvs1	16189	3	2049	0	4	ERR188039	lcl
poly_c_hvs1	16190	4	2154	0	0	ERR188039	lcl
poly_c_hvs1	16191	4	2164	0	1	ERR188039	lcl
poly_c_hvs1	16192	5	2164	0	4	ERR188039	lcl
poly_c_hvs1	16193	5	2164	0	2	ERR188039	lcl
poly_c_hvs1	16194	5	2151	0	2	ERR188039	lcl
poly_c_hvs1	16195	4	2134	0	5	ERR188039	lcl
rnr2_control	2000	23	7805	0	11	ERR188039	lcl
rnr2_control	2001	18	6887	0	13	ERR188039	lcl
rnr2_control	2002	18	6734	0	7	ERR188039	lcl
rnr2_control	2003	17	6485	0	7	ERR188039	lcl
rnr2_control	2004	17	7159	0	3	ERR188039	lcl
rnr2_control	2005	16	6896	0	4	ERR188039	lcl
rnr2_control	2006	16	7190	0	7	ERR188039	lcl
rnr2_control	2007	15	7038	0	33	ERR188039	lcl
rnr2_control	2008	15	6877	1	7	ERR188039	lcl
rnr2_control	2009	14	6847	0	5	ERR188039	lcl
rnr2_control	2010	12	6131	0	11	ERR188039	lcl
rnr2_control	2011	12	6141	0	3	ERR188039	lcl
rnr2_control	2012	11	5773	0	5	ERR188039	lcl
rnr2_control	2013	11	5807	0	7	ERR188039	lcl
rnr2_control	2014	11	5757	0	5	ERR188039	lcl
rnr2_control	2015	13	6068	0	6	ERR188039	lcl
co1_control	6000	14	5842	0	3	ERR188039	lcl
co1_control	6001	12	5334	0	4	ERR188039	lcl
co1_control	6002	11	4689	0	0	ERR188039	lcl
co1_control	6003	7	4771	0	1	ERR188039	lcl
co1_control	6004	8	2037	0	0	ERR188039	lcl
co1_control	6005	8	2331	0	0	ERR188039	lcl
co1_control	6006	8	2443	0	0	ERR188039	lcl
co1_control	6007	6	2102	0	0	ERR188039	lcl
co1_control	6008	6	2612	0	0	ERR188039	lcl
co1_control	6009	7	2914	0	2	ERR188039	lcl
co1_control	6010	7	3064	0	4	ERR188039	lcl
co1_control	6011	7	3365	0	2	ERR188039	lcl
co1_control	6012	7	3645	0	3	ERR188039	lcl
co1_control	6013	7	3802	0	3	ERR188039	lcl
co1_control	6014	7	3537	0	2	ERR188039	lcl
co1_control	6015	7	3964	0	13	ERR188039	lcl
poly_c_hvs2	303	314	577	0	0	ERR188311	lcl
poly_c_hvs2	304	314	524	0	0	ERR188311	lcl
poly_c_hvs2	305	312	524	0	0	ERR188311	lcl
poly_c_hvs2	306	305	549	0	1	ERR188311	lcl
poly_c_hvs2	307	304	542	0	0	ERR188311	lcl
poly_c_hvs2	308	302	519	0	0	ERR188311	lcl
poly_c_hvs2	309	350	376	0	54	ERR188311	lcl
poly_c_hvs2	310	301	478	6	0	ERR188311	lcl
poly_c_hvs2	311	309	499	0	6	ERR188311	lcl
poly_c_hvs2	312	311	471	0	16	ERR188311	lcl
poly_c_hvs2	313	299	516	0	2	ERR188311	lcl
poly_c_hvs2	314	304	537	0	0	ERR188311	lcl
poly_c_hvs2	315	300	542	0	0	ERR188311	lcl
poly_c_hvs1	16180	0	370	0	0	ERR188311	lcl
poly_c_hvs1	16181	0	378	0	0	ERR188311	lcl
poly_c_hvs1	16182	1	348	0	0	ERR188311	lcl
poly_c_hvs1	16183	1	202	0	5	ERR188311	lcl
poly_c_hvs1	16184	1	235	0	0	ERR188311	lcl
poly_c_hvs1	16185	1	244	0	0	ERR188311	lcl
poly_c_hvs1	16186	1	245	0	0	ERR188311	lcl
poly_c_hvs1	16187	1	232	0	0	ERR188311	lcl
poly_c_hvs1	16188	1	211	0	0	ERR188311	lcl
poly_c_hvs1	16189	1	112	0	3	ERR188311	lcl
poly_c_hvs1	16190	1	140	0	1	ERR188311	lcl
poly_c_hvs1	16191	1	175	0	0	ERR188311	lcl
poly_c_hvs1	16192	1	174	0	0	ERR188311	lcl
poly_c_hvs1	16193	1	174	0	2	ERR188311	lcl
poly_c_hvs1	16194	2	406	0	8	ERR188311	lcl
poly_c_hvs1	16195	2	411	0	1	ERR188311	lcl
rnr2_control	2000	13	7566	0	2	ERR188311	lcl
rnr2_control	2001	11	6952	0	6	ERR188311	lcl
rnr2_control	2002	11	6884	0	1	ERR188311	lcl
rnr2_control	2003	11	6704	0	0	ERR188311	lcl
rnr2_control	2004	10	7112	0	3	ERR188311	lcl
rnr2_control	2005	8	6967	0	3	ERR188311	lcl
rnr2_control	2006	7	7206	0	0	ERR188311	lcl
rnr2_control	2007	7	7135	0	10	ERR188311	lcl
rnr2_control	2008	7	6983	0	2	ERR188311	lcl
rnr2_control	2009	6	7003	0	2	ERR188311	lcl
rnr2_control	2010	6	6672	0	1	ERR188311	lcl
rnr2_control	2011	5	6695	0	2	ERR188311	lcl
rnr2_control	2012	4	6534	0	1	ERR188311	lcl
rnr2_control	2013	4	6567	0	0	ERR188311	lcl
rnr2_control	2014	4	6553	0	1	ERR188311	lcl
rnr2_control	2015	5	6788	0	2	ERR188311	lcl
co1_control	6000	8	5885	0	0	ERR188311	lcl
co1_control	6001	7	5638	0	2	ERR188311	lcl
co1_control	6002	6	5048	0	0	ERR188311	lcl
co1_control	6003	6	5040	0	0	ERR188311	lcl
co1_control	6004	5	2563	0	0	ERR188311	lcl
co1_control	6005	5	2761	0	0	ERR188311	lcl
co1_control	6006	3	2791	0	0	ERR188311	lcl
co1_control	6007	2	2372	0	0	ERR188311	lcl
co1_control	6008	2	2318	0	1	ERR188311	lcl
co1_control	6009	2	2445	0	0	ERR188311	lcl
co1_control	6010	1	2501	0	0	ERR188311	lcl
co1_control	6011	1	2511	0	0	ERR188311	lcl
co1_control	6012	1	2285	0	0	ERR188311	lcl
co1_control	6013	1	2339	0	0	ERR188311	lcl
co1_control	6014	0	1592	0	4	ERR188311	lcl
co1_control	6015	1	1787	0	1	ERR188311	lcl
poly_c_hvs2	303	1241	1384	0	12	ERR188122	lcl
poly_c_hvs2	304	1220	1322	0	1	ERR188122	lcl
poly_c_hvs2	305	1135	1522	0	1	ERR188122	lcl
poly_c_hvs2	306	1120	1533	0	3	ERR188122	lcl
poly_c_hvs2	307	1127	1502	0	2	ERR188122	lcl
poly_c_hvs2	308	1120	1428	0	0	ERR188122	lcl
poly_c_hvs2	309	1385	950	14	286	ERR188122	lcl
poly_c_hvs2	310	1096	1309	33	1	ERR188122	lcl
poly_c_hvs2	311	1134	1355	3	126	ERR188122	lcl
poly_c_hvs2	312	1115	1436	1	24	ERR188122	lcl
poly_c_hvs2	313	1112	1480	0	6	ERR188122	lcl
poly_c_hvs2	314	1104	1525	0	0	ERR188122	lcl
poly_c_hvs2	315	1116	1507	1	1	ERR188122	lcl
poly_c_hvs1	16180	1193	985	0	0	ERR188122	lcl
poly_c_hvs1	16181	1159	1826	0	1	ERR188122	lcl
poly_c_hvs1	16182	1137	1806	1	0	ERR188122	lcl
poly_c_hvs1	16183	1034	1733	0	0	ERR188122	lcl
poly_c_hvs1	16184	1179	1550	1	755	ERR188122	lcl
poly_c_hvs1	16185	1134	1704	1	0	ERR188122	lcl
poly_c_hvs1	16186	967	1499	8	1081	ERR188122	lcl
poly_c_hvs1	16187	1194	1388	4	947	ERR188122	lcl
poly_c_hvs1	16188	1162	1596	0	0	ERR188122	lcl
poly_c_hvs1	16189	1181	1332	1	12	ERR188122	lcl
poly_c_hvs1	16190	1176	1512	0	0	ERR188122	lcl
poly_c_hvs1	16191	1172	1635	0	1	ERR188122	lcl
poly_c_hvs1	16192	1166	1628	0	5	ERR188122	lcl
poly_c_hvs1	16193	1169	1597	0	0	ERR188122	lcl
poly_c_hvs1	16194	1167	1622	0	5	ERR188122	lcl
poly_c_hvs1	16195	1160	1629	2	0	ERR188122	lcl
rnr2_control	2000	29	7940	0	3	ERR188122	lcl
rnr2_control	2001	21	7248	0	5	ERR188122	lcl
rnr2_control	2002	22	7097	0	13	ERR188122	lcl
rnr2_control	2003	20	7433	0	11	ERR188122	lcl
rnr2_control	2004	19	7619	0	2	ERR188122	lcl
rnr2_control	2005	16	7363	0	1	ERR188122	lcl
rnr2_control	2006	18	7418	0	0	ERR188122	lcl
rnr2_control	2007	16	7335	1	29	ERR188122	lcl
rnr2_control	2008	17	7279	0	0	ERR188122	lcl
rnr2_control	2009	16	7047	0	4	ERR188122	lcl
rnr2_control	2010	12	6435	0	5	ERR188122	lcl
rnr2_control	2011	12	6361	0	5	ERR188122	lcl
